occ_code,task,penetration
51-5111.00,"Mount negatives and plates in cameras, set exposure controls, and expose plates to light through negatives to transfer images onto plates.",0.0
51-5112.00,Collect and inspect random samples during print runs to identify any necessary adjustments.,0.0
51-5112.00,"Examine job orders to determine quantities to be printed, stock specifications, colors, or special printing instructions.",0.0
51-5112.00,Verify that paper and ink meet the specifications for a given job.,0.0
51-5112.00,"Start presses and pull proofs to check for ink coverage and density, alignment, and registration.",0.0
51-5112.00,"Change press plates, blankets, or cylinders, as required.",0.0
51-4194.00,"File or finish surfaces of workpieces, using prescribed hand tools.",0.0
51-4193.00,"Measure and set stops, rolls, brushes, and guides on automatic feeders and conveying equipment or coating machines, using micrometers, rules, and hand tools.",0.0
51-4193.00,Preheat workpieces in ovens.,0.0
51-4193.00,"Replace worn parts and adjust equipment components, using hand tools.",0.0
51-4193.00,"Attach nozzles, position guns, connect hoses, and thread wire to set up metal-spraying machines.",0.0
51-4194.00,"Dress grinding wheels, according to specifications.",0.0
51-4194.00,"Monitor machine operations to determine whether adjustments are necessary, stopping machines when problems occur.",0.0
51-4194.00,"Inspect, feel, and measure workpieces to ensure that surfaces and dimensions meet specifications.",0.0
51-4194.00,"Remove finished workpieces from machines and place them in boxes or on racks, setting aside pieces that are defective.",0.0
51-6011.00,"Sprinkle chemical solvents over stains, and pat areas with brushes or sponges to remove stains.",0.0
51-6011.00,"Operate extractors and driers, or direct their operation.",0.0
51-6011.00,"Remove items from washers or dry-cleaning machines, or direct other workers to do so.",0.0
51-5113.00,"Apply color to edges of signatures using brushes, pads, or atomizers.",0.0
51-5113.00,"Set up or operate machines that perform binding operations, such as pressing, folding, or trimming.",0.0
51-5113.00,"Examine stitched, collated, bound, or unbound product samples for defects, such as imperfect bindings, ink spots, torn pages, loose pages, or loose or uncut threads.",0.0
51-5113.00,Read work orders to determine instructions and specifications for machine set-up.,0.0
51-5113.00,"Install or adjust bindery machine devices, such as knives, guides, rollers, rounding forms, creasing rams, or clamps, to accommodate sheets, signatures, or books of specified sizes.",0.0
51-4111.00,"Conduct test runs with completed tools or dies to ensure that parts meet specifications, making adjustments as necessary.",0.0
51-4121.06,Use fire suppression methods in industrial emergencies.,0.0
51-4121.07,"Align and clamp workpieces together, using rules, squares, or hand tools, or position items in fixtures, jigs, or vises.",0.0
51-4121.07,"Melt and apply solder along adjoining edges of workpieces to solder joints, using soldering irons, gas torches, or electric-ultrasonic equipment.",0.0
51-4121.07,"Grind, cut, buff, or bend edges of workpieces to be joined to ensure snug fit, using power grinders and hand tools.",0.0
51-4121.07,"Melt and apply solder to fill holes, indentations, or seams of fabricated metal products, using soldering equipment.",0.0
51-4122.00,"Inspect, measure, or test completed metal workpieces to ensure conformance to specifications, using measuring and testing devices.",0.0
51-4122.00,"Read blueprints, work orders, or production schedules to determine product or job instructions or specifications.",0.0
51-4122.00,"Assemble, align, and clamp workpieces into holding fixtures to bond, heat-treat, or solder fabricated metal components.",0.0
51-4122.00,"Set up, operate, or tend welding machines that join or bond components to fabricate metal products or assemblies.",0.0
51-4122.00,Correct problems by adjusting controls or by stopping machines and opening holding devices.,0.0
51-4121.06,Hammer out bulges or bends in metal workpieces.,0.0
51-4121.06,Set up and use ladders and scaffolding as necessary to complete work.,0.0
51-4121.06,"Operate metal shaping, straightening, and bending machines, such as brakes and shears.",0.0
51-4121.06,"Select and install torches, torch tips, filler rods, and flux, according to welding chart specifications or types and thicknesses of metals.",0.0
51-4111.00,"File, grind, shim, and adjust different parts to properly fit them together.",0.0
51-4192.00,"Plan locations and sequences of cutting, drilling, bending, rolling, punching, and welding operations, using compasses, protractors, dividers, and rules.",0.0
51-4192.00,Inspect machined parts to verify conformance to specifications.,0.0
51-4192.00,"Design and prepare templates of wood, paper, or metal.",0.0
51-4192.00,Brace parts in position within hulls or ships for riveting or welding.,0.0
51-4192.00,Add dimensional details to blueprints or drawings made by other workers.,0.0
51-4191.00,"Read production schedules and work orders to determine processing sequences, furnace temperatures, and heat cycle requirements for objects to be heat-treated.",0.0
51-4191.00,Signal forklift operators to deposit or extract containers of parts into and from furnaces and quenching rinse tanks.,0.0
51-4191.00,Record times that parts are removed from furnaces to document that objects have attained specified temperatures for specified times.,0.0
51-4191.00,"Set up and operate or tend machines, such as furnaces, baths, flame-hardening machines, and electronic induction machines, that harden, anneal, and heat-treat metal.",0.0
51-4191.00,"Determine types and temperatures of baths and quenching media needed to attain specified part hardness, toughness, and ductility, using heat-treating charts and knowledge of methods, equipment, and metals.",0.0
51-4022.00,"Set up, operate, or tend presses and forging machines to perform hot or cold forging by flattening, straightening, bending, cutting, piercing, or other operations to taper, shape, or form metal.",0.0
49-9095.00,"List parts needed, estimate costs, and plan work procedures, using parts lists, technical manuals, and diagrams.",0.0
49-9098.00,"Install or replace machinery, equipment, and new or replacement parts and instruments, using hand or power tools.",0.0
49-9098.00,"Examine and test machinery, equipment, components, and parts for defects to ensure proper functioning.",0.0
49-9098.00,"Hold or supply tools, parts, equipment, and supplies for other workers.",0.0
49-9098.00,"Position vehicles, machinery, equipment, physical structures, and other objects for assembly or installation, using hand tools, power tools, and moving equipment.",0.0
49-9098.00,"Adjust, maintain, and repair tools, equipment, and machines, and assist more skilled workers with similar tasks.",0.0
49-9099.01,"Identify and correct malfunctions of geothermal plant equipment, electrical systems, instrumentation, or controls.",0.0
49-9099.01,Monitor and adjust operations of geothermal power plant equipment or systems.,0.0
49-9099.01,Adjust power production systems to meet load and distribution demands.,0.0
49-9099.01,Collect and record data associated with operating geothermal power plants or well fields.,0.0
49-9099.01,"Prepare and maintain logs, reports, or other documentation of work performed.",0.0
49-9097.00,Test air lines and air cylinders on pneumatically operated gates.,0.0
49-9096.00,"Fabricate, set up, and repair rigging, supporting structures, hoists, and pulling gear, using hand and power tools.",0.0
49-9095.00,"Install, repair, and replace units, fixtures, appliances, and other items and systems in mobile and modular homes, prefabricated buildings, or travel trailers, using hand tools or power tools.",0.0
49-9095.00,"Reset hardware, using chisels, mallets, and screwdrivers.",0.0
49-9095.00,"Repair leaks in plumbing or gas lines, using caulking compounds and plastic or copper pipe.",0.0
49-9095.00,"Locate and repair frayed wiring, broken connections, or incorrect wiring, using ohmmeters, soldering irons, tape, and hand tools.",0.0
49-9096.00,Signal or verbally direct workers engaged in hoisting and moving loads to ensure safety of workers and materials.,0.0
49-9096.00,Test rigging to ensure safety and reliability.,0.0
49-9096.00,"Attach loads to rigging to provide support or prepare them for moving, using hand and power tools.",0.0
49-9096.00,"Control movement of heavy equipment through narrow openings or confined spaces, using chainfalls, gin poles, gallows frames, and other equipment.",0.0
